the cat sat on the mat	1782,8251,7578,389,279,5517
  the cat  sat   on    the     mat  	220,279,8251,220,7578,256,389,262,279,257,5517,256
\tindented\twith\ttabs	197,484,15864,46948,3244,3435
trailing tab\t	376,14277,5651,197
MiXeD CaSe AnD camelCase words	41887,55,68,35,14413,1514,1527,35,49152,4207,4244
snake_case_identifier and kebab-case-thing	72139,19096,33176,323,1962,47722,38485,12,1596
a b c d e f g	64,293,272,294,384,282,342
x  y   z	87,220,379,256,1147
word\n\n\nword	1158,1406,1158
line1\nline2\r\nline3	1056,16,198,1056,17,319,1056,18
   \n   \n   	5872,5872,262
...!!!???	1112,12069,33015
(parens) [brackets] {braces}	1295,546,4412,8,508,1323,18382,60,314,1323,2434,92
email@example.com, http://url.test/path?q=1&b=2	2332,35487,905,11,1758,1110,1085,5958,50976,43782,28,16,5,65,28,17
1234567890	16,17,18,19,20,21,22,23,24,15
3.14159 and 2.71828	18,13,16,19,16,20,24,323,220,17,13,22,16,23,17,23
version 1.2.3-rc4	4366,220,16,13,17,13,18,12,1287,19
phone: +1 (555) 123-4567	4844,25,488,16,320,20,20,20,8,220,16,17,18,12,19,20,21,22
Don't can't won't shouldn't they're we've I'll he'd	8002,944,646,944,2765,944,13133,944,807,2299,582,3003,358,3278,566,4172
ABC's DEF'RE GHI'VE	25411,594,23865,94153,479,23913,6,4491
'leading apostrophe	6,20654,38471,47883
quote "inside" text	2949,330,41350,1,1467
back\\slash here	1419,59,50256,1588
tab\tand\nnewline mix	6192,52477,198,89202,6514
100% sure & done!	16,15,15,4,2704,609,2814,0
C++ and C# and F#	34,1027,323,356,2,323,434,2
<html><body>hi</body></html>	13745,1784,2599,29,6023,522,2599,1472,1551,29
a1 b2 c3 d4	64,16,293,17,272,18,294,19
mixing123letters456and789digits	35071,287,16,17,18,21053,19,20,21,437,22,23,24,60770
UPPER lower 123 !@#	3124,9654,4722,220,16,17,18,753,31,2
café résumé naïve façade	924,58858,9333,1242,963,94880,586,94872,1021
Zürich Köln Düsseldorf	57,5186,713,141377,422,85035
El Niño jalapeño piñata	6582,21890,14529,75974,2027,14529,8938,5653,459
Ω α β γ δ Greek letters	144572,19043,33218,62027,69334,17860,11931
Привет мир Cyrillic	53645,26991,8178,137144,94705,415
日本語 のテキスト	101059,102819,96618,56833,61803,70534
中文 文本 测试	104811,53040,21894,98313,66635
한국어 텍스트	23573,124785,31079,10764,44104,53189
I love 🚀 and 🎉 emojis 😀	40,2948,11162,248,222,323,11162,236,231,99066,90316
mixed café 🚀 123 text!	56685,51950,11162,248,222,220,16,17,18,1467,0
  	256
 	220
	
a	64
9	24
.	13
'	6
's	594
 's	364,82
a's	64,594
\n	198
\n\n	271
 \n 	715,220
  hello	220,23811
hello  	14990,256
  hello  world  	220,23811,220,1879,256
tab\tword space word	6192,66298,3550,3409
punctuation,separated,by,commas	79,72299,11,325,49600,11,1694,11,3621,300
semicolons;and:colons	6998,26463,2382,26,437,25,2074,2382
a very long sentence with many ordinary english words to exercise the bpe merges across a realistic prompt length similar to what a diffusion text encoder would actually receive at inference time	64,1602,1293,11652,448,1657,19119,28963,4244,311,10158,279,293,375,80953,3941,264,25489,9934,3084,4428,311,1128,264,57330,1467,23668,1035,3520,5258,518,44378,882
The quick brown fox jumps over the lazy dog. 1234567890 !@#$%^&*()	785,3974,13876,38835,34208,916,279,15678,5562,13,220,16,17,18,19,20,21,22,23,24,15,753,31,48077,45899,5,9,368
Numbers like 42 and 007 and 3000 and 1000000	27237,1075,220,19,17,323,220,15,15,22,323,220,18,15,15,15,323,220,16,15,15,15,15,15,15
She said, "It's a beautiful day, isn't it?"	7941,1053,11,330,2132,594,264,6233,1899,11,4436,944,432,7521
function foo(x) { return x + 1; }	1688,15229,2075,8,314,470,856,488,220,16,26,335
import numpy as np\nimport torch	474,8591,438,2595,198,474,7834
git commit -m 'fix: resolve bug #123'	12882,5266,481,76,364,5743,25,8830,9876,671,16,17,18,6
https://example.com/path/to/page#section	2428,1110,8687,905,50976,32429,32180,2,2809
user@host:~/dir$ ls -la	872,31,3790,25,22714,3741,3,19597,481,4260
key=value; other=thing	792,46538,26,1008,28,1596
[2026-05-25] INFO: started	58,17,15,17,21,12,15,20,12,17,20,60,30771,25,3855
emoji at end 🚀	37523,518,835,11162,248,222
🚀 emoji at start	145836,42365,518,1191
🚀🎉😀 three emojis	145836,144841,141334,2326,99066
tab\ttab\ttabs	6192,58149,3244,3435
newline\nthen tab\there	89202,198,3391,5651,197,6739
multiple   internal    spaces	35673,256,5306,262,12621
ALLCAPS sentence here	3919,31400,50,11652,1588
alllowercase sentence here	541,14772,5638,11652,1588
Sentence. Another. Third.	84564,13,13293,13,20861,13
What? Why! How...	3838,30,8429,0,2585,1112
1st 2nd 3rd 4th	16,267,220,17,303,220,18,6498,220,19,339
co-op re-do pre-set	1015,29492,312,29559,855,24096
$100.50 and €200 and £300	3,16,15,15,13,20,15,323,12984,17,15,15,323,6938,18,15,15
50% off! Buy 2 get 1 free.	20,15,4,1007,0,11292,220,17,633,220,16,1910,13
a_b_c d-e-f g.h.i	64,880,666,294,5655,2220,342,860,8607
CamelCaseWords AndMore	25406,301,4207,23489,1597,7661
trailing newline\n	376,14277,39027,198
leading\nnewline	20654,198,89202
